x,y,frame
NA,NA,0
NA,NA,1
NA,NA,2
NA,NA,3
NA,NA,4
NA,NA,5
NA,NA,6
NA,NA,7
NA,NA,8
NA,NA,9
NA,NA,10
NA,NA,11
NA,NA,12
NA,NA,13
NA,NA,14
NA,NA,15
NA,NA,16
NA,NA,17
NA,NA,18
NA,NA,19
NA,NA,20
NA,NA,21
NA,NA,22
NA,NA,23
NA,NA,24
NA,NA,25
NA,NA,26
NA,NA,27
NA,NA,28
NA,NA,29
NA,NA,30
NA,NA,31
NA,NA,32
695,477,33
694,477,34
694,477,35
693,477,36
693,477,37
693,477,38
692,477,39
692,477,40
692,477,41
691,477,42
691,477,43
690,477,44
690,477,45
689,477,46
689,476,47
689,476,48
689,476,49
688,476,50
688,476,51
688,476,52
688,476,53
688,476,54
688,476,55
688,476,56
688,476,57
689,475,58
689,475,59
689,475,60
689,475,61
689,475,62
690,475,63
690,475,64
690,475,65
690,475,66
690,475,67
690,475,68
690,475,69
690,475,70
690,474,71
690,474,72
691,474,73
690,474,74
691,474,75
691,473,76
692,473,77
691,473,78
692,473,79
692,472,80
692,472,81
692,472,82
693,471,83
693,471,84
693,471,85
692,471,86
692,470,87
692,470,88
693,471,89
692,470,90
692,470,91
692,470,92
692,470,93
692,469,94
692,469,95
692,469,96
691,468,97
691,468,98
691,468,99
691,468,100
692,468,101
691,467,102
691,467,103
692,467,104
692,467,105
692,467,106
692,467,107
692,466,108
692,467,109
692,467,110
692,467,111
692,467,112
692,467,113
692,467,114
692,467,115
692,467,116
692,467,117
692,467,118
692,467,119
692,467,120
692,467,121
692,466,122
692,467,123
692,467,124
692,467,125
692,467,126
692,467,127
692,467,128
692,467,129
692,467,130
692,467,131
692,466,132
692,466,133
692,466,134
692,466,135
692,466,136
692,466,137
692,467,138
692,467,139
692,467,140
692,467,141
692,467,142
692,466,143
692,466,144
692,466,145
692,467,146
692,467,147
692,467,148
692,467,149
692,467,150
692,467,151
692,467,152
691,467,153
692,467,154
692,467,155
692,467,156
692,467,157
692,467,158
692,467,159
692,467,160
692,467,161
