x,y,frame
690,472,0
688,472,1
687,472,2
686,472,3
685,473,4
684,473,5
683,473,6
683,474,7
682,474,8
681,474,9
NA,NA,10
NA,NA,11
NA,NA,12
NA,NA,13
NA,NA,14
NA,NA,15
NA,NA,16
NA,NA,17
NA,NA,18
NA,NA,19
NA,NA,20
NA,NA,21
NA,NA,22
NA,NA,23
NA,NA,24
NA,NA,25
NA,NA,26
NA,NA,27
NA,NA,28
NA,NA,29
NA,NA,30
NA,NA,31
NA,NA,32
NA,NA,33
NA,NA,34
NA,NA,35
NA,NA,36
NA,NA,37
NA,NA,38
NA,NA,39
NA,NA,40
NA,NA,41
NA,NA,42
NA,NA,43
NA,NA,44
NA,NA,45
NA,NA,46
NA,NA,47
NA,NA,48
NA,NA,49
NA,NA,50
NA,NA,51
NA,NA,52
NA,NA,53
NA,NA,54
NA,NA,55
NA,NA,56
NA,NA,57
NA,NA,58
NA,NA,59
NA,NA,60
NA,NA,61
NA,NA,62
NA,NA,63
NA,NA,64
NA,NA,65
NA,NA,66
NA,NA,67
NA,NA,68
NA,NA,69
NA,NA,70
NA,NA,71
NA,NA,72
NA,NA,73
NA,NA,74
NA,NA,75
NA,NA,76
NA,NA,77
NA,NA,78
NA,NA,79
NA,NA,80
NA,NA,81
NA,NA,82
NA,NA,83
NA,NA,84
NA,NA,85
NA,NA,86
NA,NA,87
NA,NA,88
NA,NA,89
NA,NA,90
NA,NA,91
NA,NA,92
NA,NA,93
NA,NA,94
NA,NA,95
NA,NA,96
NA,NA,97
NA,NA,98
NA,NA,99
NA,NA,100
NA,NA,101
NA,NA,102
NA,NA,103
NA,NA,104
NA,NA,105
NA,NA,106
NA,NA,107
NA,NA,108
NA,NA,109
NA,NA,110
NA,NA,111
NA,NA,112
NA,NA,113
NA,NA,114
NA,NA,115
NA,NA,116
NA,NA,117
NA,NA,118
NA,NA,119
NA,NA,120
NA,NA,121
NA,NA,122
NA,NA,123
NA,NA,124
NA,NA,125
NA,NA,126
NA,NA,127
NA,NA,128
NA,NA,129
NA,NA,130
NA,NA,131
NA,NA,132
NA,NA,133
NA,NA,134
NA,NA,135
NA,NA,136
NA,NA,137
NA,NA,138
NA,NA,139
NA,NA,140
NA,NA,141
NA,NA,142
NA,NA,143
NA,NA,144
NA,NA,145
NA,NA,146
NA,NA,147
NA,NA,148
NA,NA,149
NA,NA,150
NA,NA,151
NA,NA,152
NA,NA,153
NA,NA,154
NA,NA,155
NA,NA,156
NA,NA,157
NA,NA,158
NA,NA,159
NA,NA,160
NA,NA,161
NA,NA,162
NA,NA,163
NA,NA,164
NA,NA,165
NA,NA,166
NA,NA,167
NA,NA,168
NA,NA,169
NA,NA,170
NA,NA,171
NA,NA,172
NA,NA,173
NA,NA,174
NA,NA,175
604,473,176
604,473,177
603,474,178
603,474,179
602,474,180
602,475,181
602,475,182
601,475,183
601,476,184
601,476,185
601,477,186
600,477,187
600,478,188
600,478,189
599,479,190
598,479,191
598,479,192
598,479,193
598,480,194
597,480,195
597,480,196
597,481,197
596,481,198
596,481,199
595,481,200
595,482,201
594,483,202
594,483,203
593,483,204
593,482,205
593,483,206
593,482,207
593,483,208
593,483,209
593,482,210
593,482,211
593,483,212
593,483,213
593,483,214
594,483,215
594,483,216
593,483,217
593,483,218
593,483,219
593,483,220
593,483,221
593,483,222
592,484,223
592,484,224
591,485,225
591,486,226
592,487,227
592,488,228
592,489,229
592,489,230
592,490,231
593,490,232
593,491,233
593,492,234
593,492,235
593,493,236
593,494,237
593,494,238
593,494,239
593,495,240
593,495,241
593,495,242
594,495,243
594,495,244
594,495,245
594,497,246
594,497,247
594,497,248
594,496,249
594,496,250
593,496,251
593,496,252
593,496,253
593,495,254
593,496,255
593,495,256
593,496,257
593,496,258
593,496,259
593,496,260
593,496,261
593,496,262
593,496,263
593,496,264
593,497,265
593,497,266
593,497,267
593,497,268
593,496,269
593,496,270
593,496,271
593,496,272
593,496,273
593,495,274
593,495,275
593,495,276
593,495,277
593,495,278
593,495,279
593,496,280
593,497,281
593,497,282
593,497,283
593,497,284
593,497,285
593,497,286
593,497,287
593,497,288
593,497,289
593,497,290
593,497,291
593,497,292
593,497,293
593,497,294
593,497,295
593,497,296
593,497,297
593,497,298
593,497,299
592,494,300
593,494,301
593,494,302
593,494,303
592,494,304
592,494,305
593,495,306
593,495,307
593,496,308
593,496,309
592,495,310
593,496,311
593,496,312
593,496,313
593,496,314
593,496,315
592,497,316
592,496,317
592,494,318
592,494,319
592,494,320
592,494,321
592,494,322
592,495,323
592,494,324
592,494,325
592,494,326
592,495,327
593,496,328
593,497,329
594,498,330
594,498,331
594,498,332
594,498,333
593,498,334
593,498,335
593,498,336
593,498,337
593,498,338
593,498,339
593,498,340
593,498,341
593,498,342
593,497,343
592,497,344
592,497,345
592,497,346
592,497,347
591,496,348
591,496,349
591,496,350
591,496,351
591,496,352
590,495,353
591,495,354
591,496,355
591,496,356
590,496,357
590,496,358
590,496,359
590,495,360
591,496,361
591,496,362
590,496,363
590,496,364
590,496,365
590,496,366
590,496,367
590,496,368
590,496,369
590,496,370
590,496,371
590,496,372
590,496,373
590,496,374
590,496,375
590,496,376
590,496,377
590,496,378
590,496,379
589,495,380
589,494,381
588,494,382
588,493,383
587,493,384
587,493,385
587,493,386
586,493,387
586,493,388
586,492,389
586,492,390
585,492,391
585,493,392
585,493,393
585,493,394
584,492,395
584,492,396
584,492,397
584,492,398
583,493,399
583,492,400
583,493,401
583,493,402
583,493,403
582,494,404
582,494,405
582,494,406
582,495,407
581,496,408
581,496,409
581,496,410
581,496,411
581,496,412
581,496,413
581,496,414
581,497,415
581,496,416
581,497,417
581,497,418
581,497,419
581,497,420
581,497,421
581,497,422
581,496,423
581,496,424
581,496,425
581,496,426
581,496,427
581,496,428
581,496,429
581,496,430
581,497,431
581,496,432
581,496,433
581,496,434
581,496,435
581,497,436
581,497,437
581,496,438
581,496,439
581,497,440
581,497,441
581,497,442
581,497,443
581,497,444
581,497,445
581,497,446
581,496,447
581,496,448
581,496,449
581,496,450
581,496,451
581,496,452
581,497,453
581,496,454
581,496,455
581,496,456
581,496,457
581,496,458
581,496,459
581,496,460
581,497,461
581,497,462
581,497,463
581,497,464
581,497,465
581,497,466
581,497,467
581,497,468
581,497,469
581,497,470
581,496,471
581,496,472
581,496,473
581,497,474
581,497,475
581,496,476
581,496,477
581,496,478
581,495,479
581,495,480
580,496,481
579,497,482
578,496,483
575,497,484
574,497,485
572,496,486
572,496,487
570,495,488
571,495,489
570,494,490
568,494,491
568,494,492
567,493,493
567,493,494
565,493,495
565,492,496
565,492,497
564,491,498
564,491,499
563,491,500
563,491,501
563,490,502
563,490,503
562,489,504
561,488,505
560,487,506
559,485,507
558,485,508
558,484,509
557,483,510
557,483,511
556,483,512
555,482,513
555,482,514
554,482,515
554,481,516
554,481,517
554,480,518
553,479,519
553,479,520
553,479,521
553,479,522
553,479,523
552,478,524
